signal_id,initiative_id,workstream,issue_id,issue_date,status,follow_through_of,duplicate_of,geography,domain,dpi_components,milestone_type,milestone_date,canonical_headline,canonical_summary,entities,source_name,source_url,source_pub_date,confidence,impact_rating,pilot_watch,time_sensitive,time_window,notes
SIG-20251118-008,INIT-CARIBBEAN-REGIONAL-BENCHMARKS-ECLAC-S,Caribbean-CTO-Brief,Issue-03,2025-11-18,NEW,,,Caribbean,AI|DPI|Interoperability,ServiceFrontDoor,PILOT,2025-11-18,Regional Benchmarks - ECLAC's “Digital Government to,"Smart Government” & eLAC 2026 Signal (2025)ECLAC'sDigital Government to Smart Government Knowledge Guide and Digital Development Observatory updates frame a new Digital Agenda 2026 for LAC, focused on digital resilience,",CAF|CDB|ECLAC|IDB|LAC,Caribbean Development Portal +,(link not provided),(date not provided),MEDIUM,MEDIUM,YES,NO,,
SIG-20251118-009,INIT-TRINIDAD-TOBAGO-T-T-OPENS-STRATEGIC,Caribbean-CTO-Brief,Issue-03,2025-11-18,NEW,,,Trinidad & Tobago,AI|Cloud|DPI|Interoperability|Payments,ID|Payments|TrustLayer,PARTNERSHIP,2025-11-17,T&T Opens Strategic GovTech Lane with UAE,"Signal (17 Nov 2025)Trinidad and Tobago signed a landmark MoU with government-linked technology entities in the United Arab Emirates, signalling a new government-to-government partnership track around digital government,",AI|CARICOM|CTU|DPI|ID|UAE,Official T&T / UAE releases - 17 Nov 2025.,(link not provided),2025-11-17,MEDIUM,HIGH,YES,NO,,
SIG-20251126-001,INIT-TRIDENT-ID,Caribbean-CTO-Brief,Issue-04,2025-11-26,NEW,,,Trinidad & Tobago,AI|DPI|Interoperability,ID|Location|Registries|TrustLayer,PROCUREMENT_RFP,2025-11-26,Caribbean eID Playbook: SKN Architecture + Barbados',"Trident + Jamaica's NIDS Three Caribbean cases now provide a usable “playbook” for eID design and rollout: St Kitts & Nevis- PKI-based eID with chip cards meeting ICAO anti-counterfeiting norms and ISO security, authenti",API|Biometric Update|CTU|DPI|ICAO|ID|ISO|NIDS|PKI|PM|PVC|SKN,Biometric Update,(link not provided),(date not provided),MEDIUM,MEDIUM,YES,NO,,
SIG-20251126-002,INIT-GUYANA-GUYANA-DIGITAL-ID-ROLLOUT,Caribbean-CTO-Brief,Issue-04,2025-11-26,NEW,,,Guyana,DPI|Interoperability,ID|Registries|TrustLayer,LAUNCH,2025-11-26,Guyana Digital ID Rollout: Adoption Sprint Built on,"Unactivated Laws - a Red-Flag Pattern Guyana has begun distributing digital ID cards to public servants, with registration and issuance underway across multiple ministries.",CTO|DPO|Demerara Waves|ID|Stabroek,,(link not provided),(date not provided),MEDIUM,MEDIUM,NO,NO,,
SIG-20251126-003,INIT-TT-EAPPOINTMENT,Caribbean-CTO-Brief,Issue-04,2025-11-26,NEW,,,Trinidad & Tobago,AI|DPI|Interoperability,ServiceFrontDoor,PROCUREMENT_RFP,2025-11-26,Guyana's “Guaranteed Go-Times” vs Trinidad &,"Tobago's eAppointment Platform Guyana is testing a government app that will allow citizens to book appointments atany government agency, selecting specific dates and times and receiving confirmed slots, alongside an eigh",CTO|FIU|NIS|SLA|SOW|THA|TT,St Kitts-Nevis Observer - “Guyana Government App to Give,(link not provided),(date not provided),MEDIUM,MEDIUM,YES,NO,,
SIG-20251126-004,INIT-TRINIDAD-TOBAGO-ST-KITTS-NEVIS-EID,Caribbean-CTO-Brief,Issue-04,2025-11-26,NEW,,,Trinidad & Tobago,AI|DPI|Interoperability,ID|Registries|TrustLayer,PROCUREMENT_RFP,2025-11-24,St Kitts & Nevis eID: Now the De-Facto PKI Blueprint for,"Small States St Kitts & Nevis' Digital Identity Authentication Project continues to advance, with Taiwan's technical mission supporting a PKI-based infrastructure that links the Civil Registry to a Digital Identity Authe",API|Biometric Update|CTU|ICAO|ID|ISO|MUST|OECS|PKI|SHALL|SKN,Biometric Update,(link not provided),2025-11-24,MEDIUM,HIGH,YES,NO,,
SIG-20251126-005,INIT-TT-EAPPOINTMENT,Caribbean-CTO-Brief,Issue-04,2025-11-26,FOLLOW-THROUGH,SIG-20251126-003,,Trinidad & Tobago,AI|DPI|Interoperability,Location|ServiceFrontDoor,PILOT,2025-11-26,"Trinidad & Tobago eAppointment: Quiet, Early Digital-",Service Infrastructure Worth Copying T&T'seAppointmentplatform has quietly become a shared digital front door for a growing set of services - from registration of births at the Registrar General's Department to NIBTT's w,CSME|CTU|FIU|MDA|NIBTT|NIS|THA|TTBS|UI|UX,,(link not provided),(date not provided),MEDIUM,MEDIUM,YES,NO,,
SIG-20251205-001,INIT-CARIBBEAN-PAYMENT-INNOVATION-NEEDS-FUNDED,Caribbean-CTO-Brief,Issue-05,2025-12-05,NEW,,,Caribbean,AI|Cyber|DPI|Payments,Cyber|ID|Payments|TrustLayer,PROCUREMENT_RFP,2025-11-27,Caribbean Payment Innovation Needs a Funded,"Security & Skills Track, Not Just CBDC Hype Impact:High SignalA detailed Trinidad Guardian piece traces the shift from cash and legacy card switches (Infolink) to DCash, tokenised deposits, UPI-style instant payments and",AI|CBDC|CTU|Trinidad Guardian|UPI,& date,https://www.guardian.co.tt/business/securing-the-future-of-caribbean-payment-innovation-6.2.2458675.af1f5e04a9,2025-11-27,MEDIUM,HIGH,NO,YES,,extra_sources=https://pinaka.co.tt/securing-caribbean-payment-innovation/
SIG-20251205-002,INIT-JAMAICA-DIGICEL-HIGHWAY-DUCT-SHARING,Caribbean-CTO-Brief,Issue-05,2025-12-05,NEW,,,Jamaica,AI|Cloud|Cyber,Cyber|TrustLayer,PARTNERSHIP,2025-12-01,Digicel-Highway Duct-Sharing Deal Shows How to,"Bury Critical Fibre Fast SignalIn response to Hurricane Melissa's damage to overhead infrastructure, Digicel Jamaica and the Jamaica North-South Highway Company have struck a deal to share underground ducts so fibre can ",CTU|Digicel|Jamaica Observer,& date,https://www.jamaicaobserver.com/2025/12/01/digicel-moves-hurricane-proof-fibre-network/,2025-12-01,MEDIUM,MEDIUM,NO,YES,,
SIG-20251205-003,INIT-CARIBBEAN-EU-BRIDGE-FACILITY-GIVES,Caribbean-CTO-Brief,Issue-05,2025-12-05,NEW,,,Caribbean,AI|Cloud|DPI|Events|Payments,ID|Payments|TrustLayer,LAUNCH,2025-12-02,EU-Caribbean BRIDGE Facility Gives MSMEs up to EUR,"100k for Digital & Green Upgrades SignalThe EU-funded BRIDGE (Building Resilient Innovation for Digital & Green Enterprises) facility, implemented by Caribbean Export under Global Gateway, offers MSMEs up to EUR 100,000 ",BRIDGE|CTU|EU|EUR|Global Gateway|KPI|SME,& date,https://carib-export.com/resources/funding/bridge/,2025-12-02,MEDIUM,MEDIUM,NO,YES,,extra_sources=https://carib-export.com/opportunities/digital-transformation-bridge/;https://caribbeannewsglobal.com/the-european-union-caribbean-export-launch-bridge-facility-to-accelerate-sme-growth/
SIG-20251205-004,INIT-ANANSI,Caribbean-CTO-Brief,Issue-05,2025-12-05,NEW,,,Trinidad & Tobago,AI|Cloud|Cyber|DPI|Interoperability,Cyber|ServiceFrontDoor|TrustLayer,LAUNCH,2025-11-26,T&T's AI Readiness Assessment Must Deliver,"Governance Rules, a Pilot Pipeline and a Skills Plan SignalTrinidad & Tobago has launched a landmark national AI readiness assessment with UNDP and UNESCO, framed by government as a “new oil and gas”-scale opportunity fo",AI|CTU|JCF|JLIP|Newsday|TTT|UNDP|UNESCO,& date (T&T AI readiness),(link not provided),2025-11-26,MEDIUM,MEDIUM,YES,NO,,
SIG-20251205-005,INIT-JAMAICA-US-6-7B-JAMAICA,Caribbean-CTO-Brief,Issue-05,2025-12-05,NEW,,,Jamaica,AI,,PILOT,2025-12-01,US$6.7B Jamaica Hurricane Melissa Package Is the,"New Benchmark for Climate + Digital Financing SignalAfter Hurricane Melissa caused an estimated US$8.8B in damage (≈44% of 2024 GDP), Jamaica has secured up to US$6.7B over three years from CAF, CDB, IDB Group, IMF and t",CAF|CDB|CTU|GDP|IDB|IMF|Reuters|US,& date,https://www.imf.org/en/news/articles/2025/12/01/pr25400-jamaica-billions-over-3-years-for-recovery-and-reconstruct-after-hurricane-melissa,2025-12-01,MEDIUM,MEDIUM,NO,YES,,extra_sources=https://www.reuters.com/business/environment/jamaica-secures-up-67-bln-post-hurricane-melissa-reconstruction-2025-12-01/;https://www.caf.com/en/currently/news/jamaica-secures-a-package-of-us-67-billion-over-three-years-in-international-support-for-recovery-and-reconstruction-after-hurricane-melissa/
SIG-20251212-001,INIT-JAMAICA-AI-POWERED-SEXUAL-EXTORTION,Caribbean-CTO-Brief,Issue-06,2025-12-12,NEW,,,Jamaica,AI|Cyber,Cyber|TrustLayer,LAUNCH,2025-12-12,AI-powered sexual extortion & digital-age policing:,Jamaica and Belize highlight new risks AJamaica Starreport warns that women and girls in the Caribbean are facing a “dangerous new frontier” of sexual violence as predators use AI tools to generate fake nude images and p,AI|GBM|Stabroek,,(link not provided),(date not provided),MEDIUM,HIGH,YES,NO,,
SIG-20251212-002,INIT-TRIDENT-ID,Caribbean-CTO-Brief,Issue-06,2025-12-12,FOLLOW-THROUGH,SIG-20251126-001,,Barbados,AI|DPI|Payments,ID|Payments|TrustLayer,LAUNCH,2026-03-31,"Barbados locks in 2026 “must-happens” for infra,","instant payments and Trident ID Barbados' year-end technology review sets three concrete 2026 “must- happens”: (1) modernise fragile core government systems and create a resilient digital state, (2) scale BimPay, the new",Barbados Today|CTU|DPI|ID,Barbados Today,(link not provided),2026-03-31,MEDIUM,HIGH,YES,NO,,
SIG-20251212-003,INIT-BELIZE-BELIZE-S-DIGITAL-WORKSPACE,Caribbean-CTO-Brief,Issue-06,2025-12-12,NEW,,,Belize,AI|DPI|Events,ID|TrustLayer,LAUNCH,2025-12-12,Belize's Digital Workspace: an internal platform for,"managing gov ICT demand Belize's Ministry of E-Governance has launched a Digital Workspace - a modern intranet built on SharePoint with real-time updates, staff directory, unified calendar and search - plus an E-Governan",AD|CITO|DPI|ICT,,(link not provided),(date not provided),MEDIUM,MEDIUM,YES,NO,,
SIG-20251212-004,INIT-TRINIDAD-TOBAGO-CARICOM-KNOWLEDGE-MANAGEMENT-WEB,Caribbean-CTO-Brief,Issue-06,2025-12-12,NEW,,,Trinidad & Tobago,DPI|Interoperability,ServiceFrontDoor,PILOT,2025-11-20,CARICOM Knowledge Management Web Portal:,"towards a regional digital-data backbone Regional IT stakeholders met in Trinidad & Tobago (19-20 November 2025) to review and validate the CARICOM Knowledge Management Web Portal and Framework (KMF), funded under the 11",CARICOM|EDF|ICT|IT|KMF,,(link not provided),2025-11-20,MEDIUM,HIGH,YES,NO,,
SIG-20251212-005,INIT-GUADELOUPE-INNOVATION-DAYS-GUADELOUPE-CARIRI,Caribbean-CTO-Brief,Issue-06,2025-12-12,NEW,,,Guadeloupe,AI,,PARTNERSHIP,2025-12-12,"Caribbean Innovation Days: Guadeloupe, CARIRI and a","bridge to Africa The 2025 Caribbean Innovation Days in Guadeloupe (1-4 December) brought together ~300 participants, 100 ultramarine and Caribbean startups, 25 island projects and 20 investors for four days of AI/digital",AI|CARIRI|CIOMAG|CTU|NOVA,,(link not provided),(date not provided),MEDIUM,MEDIUM,YES,NO,,
SIG-20251212-006,INIT-CARICOM-CONNECTIVITY-NAMED-CORNERSTONE-REGIONAL,Caribbean-CTO-Brief,Issue-06,2025-12-12,NEW,,,CARICOM,AI|Events,,PARTNERSHIP,2025-12-12,Connectivity named the “cornerstone” of regional,"progress at CCS 2025 At the Connected Caribbean Summit 2025 in Grenada, CARICOM Secretary-General Dr Carla Barnett explicitly framed connectivity - digital networks, air travel, and maritime transport - as central to ach",AI|CARICOM|CCS|CSME|CTU|ICT|LTE,,(link not provided),(date not provided),MEDIUM,MEDIUM,YES,NO,,
SIG-20251212-007,INIT-GUYANA-GUYANA-S-DIGITAL-HEALTH,Caribbean-CTO-Brief,Issue-06,2025-12-12,NEW,,,Guyana,AI|Events,,LAUNCH,2025-12-12,Guyana's digital health push: 50 new telemedicine,"sites and a training institute Guyana's Ministry of Health is planning 50 new telemedicine sites as part of what officials describe as “one of the most extensive telemedicine networks” in the region, and has launched a D",CARPHA|CTU|EMR,,(link not provided),(date not provided),MEDIUM,HIGH,YES,NO,,
SIG-20251212-008,INIT-JAMAICA-SHESECURES-JA-CIRT-WOMEN,Caribbean-CTO-Brief,Issue-06,2025-12-12,NEW,,,Jamaica,AI|Cyber,Cyber|TrustLayer,INCIDENT,2025-12-12,SheSecures: Ja-CIRT women turn a cyber competition,"into a talent pipeline signal Two Tier Two analysts from Jamaica's Cyber Incident Response Team (Ja-CIRT), Monique Satchwell and Rheana Hagigal, took first place overall in the SheSecures Jamaica cybersecurity competitio",CIRT|CSIRT|CTF|Ja-CIRT|Jamaica Observer|MOCA|OAS,Jamaica Observer,(link not provided),(date not provided),MEDIUM,MEDIUM,YES,NO,,
SIG-20251219-001,INIT-TRINIDAD-TOBAGO-AIIC-CTU-AI-TASK,Caribbean-CTO-Brief,Issue-07,2025-12-19,NEW,,,Trinidad & Tobago,AI|Cyber|DPI|Events|Interoperability,Cyber|TrustLayer,PARTNERSHIP,2025-12-19,AIIC + CTU AI Task Force: a twin engine for regional AI,"governance and R&D The CTU Caribbean AI Task Force has issued an interim report outlining five action areas for a harmonised, human-centric regional AI framework, just as UWI St Augustine's Artificial Intelligence Innova",AI|AIIC|CT|CTU|UWI,,(link not provided),(date not provided),MEDIUM,HIGH,YES,YES,,
SIG-20251219-002,INIT-CCSCAP-2025,Caribbean-CTO-Brief,Issue-07,2025-12-19,FOLLOW-THROUGH,SIG-20251118-001,,CARICOM,AI|Cyber|DPI|Events,Cyber|ID|TrustLayer,INCIDENT,2025-12-19,Aruba's cyber resilience model: national security,"framing meets CCSCAP 2025 and CSIRT practice A detailed Dutch Digital Government interview with Aruba's intelligence chief frames cyber resilience explicitly as a national security issue, backed by a TNO-developed cyber ",CARICOM|CCSCAP|CERT|CSIRT|CTU|IMPACS|IT|TNO|UNODC,,(link not provided),(date not provided),MEDIUM,HIGH,YES,YES,,
SIG-20251219-003,INIT-GRENADA-CONNECTED-SUMMIT-MULTI-FORUM,Caribbean-CTO-Brief,Issue-07,2025-12-19,NEW,,,Grenada,AI|Cyber|Events,Cyber|TrustLayer,PARTNERSHIP,2025-12-05,Connected Caribbean Summit 2025: multi-forum,"architecture for “working” regional deals From 1-5 December 2025, Grenada hosted the Connected Caribbean Summit 2025 (CCS 2025), bringing more than 200 leaders together under the theme“Catalysing Caribbean Transformation",AI|ARIN|CCS|CTU,,(link not provided),2025-12-05,MEDIUM,MEDIUM,YES,YES,,
SIG-20251219-004,INIT-CCSCAP-2025,Caribbean-CTO-Brief,Issue-07,2025-12-19,FOLLOW-THROUGH,SIG-20251219-002,,Jamaica,AI|Cyber,Cyber|TrustLayer,INCIDENT,2025-12-19,Crime analysts' regional network leans into AI and,"advanced analytics, while governance questions sit mostly in the background In early December, over forty crime analysts and specialists from around twenty Caribbean jurisdictions met in Santo Domingo for the third Regio",AI|CARICO|CARICOM|CCSCAP|CTU|GI-TOC|IMPACS|RNA,CARICOM IMPACS,(link not provided),(date not provided),MEDIUM,MEDIUM,YES,YES,,
SIG-20251219-005,INIT-ST-KITTS-NEVIS-ST-KITTS-NEVIS-RUNS,Caribbean-CTO-Brief,Issue-07,2025-12-19,NEW,,,St Kitts & Nevis,AI|Cyber|DPI|Payments,Cyber|Payments|TrustLayer,PROCUREMENT_RFP,2025-11-24,St Kitts & Nevis runs first Caribbean pilot of,"Commonwealth Model Law on Digital Trade On 24 November 2025, St Kitts & Nevis opened a National Stakeholder Consultation on its E-Commerce Legislative Gap Assessment, described by the CTU and the Commonwealth Secretariat",CTU|IP|MLETR,,(link not provided),2025-11-24,MEDIUM,HIGH,YES,YES,,
SIG-20251227-001,INIT-CARIBBEAN-AI-JOURNALISM-REGULATION-CNTI,Caribbean-CTO-Brief,Issue-08,2025-12-27,NEW,,,Caribbean,AI|DPI,Location,PARTNERSHIP,2025-12-18,"AI, journalism & regulation - CNTI maps 80 LAC","policy proposals CNTI flags LAC AI rules converging on bias, transparency and synthetic content The Center for News, Technology & Innovation (CNTI) releasedJournalism's New Frontieron 18 December 2025, analysing 188 AI s",AI|CNTI|LAC,,(link not provided),2025-12-18,MEDIUM,MEDIUM,YES,NO,,
SIG-20251227-002,INIT-ANTIGUA-ANTIGUA-DECLARATION-IDLAC-PRACTICAL,Caribbean-CTO-Brief,Issue-08,2025-12-27,NEW,,,Antigua,Cyber|DPI,Cyber|ID|TrustLayer,PILOT,2025-12-27,Antigua Declaration & idLAC - practical on-ramp for,"small states Antigua Declaration backs idLAC digital-ID broker as regional public good Digital government directors meeting in Antigua, Guatemala, on28-29 October 2025adopted theAntigua Declarationand explicitly recognis",ANTIGUA|CTU|GUATEMALA|ID|ORIGINAL|PUBLIC|SPANISH,,(link not provided),(date not provided),MEDIUM,HIGH,YES,NO,,
SIG-20251227-003,INIT-CARIBBEAN-CDA-EPI-PARTNERSHIP-READY,Caribbean-CTO-Brief,Issue-08,2025-12-27,NEW,,,Caribbean,AI|Cloud,,PARTNERSHIP,2025-12-09,CDA-EPI partnership: a ready-made framework for,"DC skills and audits Caribbean Datacenter Association & EPI roll out regional data-centre training pipeline On 9 December 2025, the Caribbean Datacenter Association (CDA) and EPI announced a strategic partnership to offe",ANSI|CDA|CDA-EPI|CDCE|CDCP|CDCS|DC|DCOS|EPI|IEC|ISO|TIA,,(link not provided),2025-12-09,MEDIUM,MEDIUM,YES,NO,,
SIG-20251227-004,INIT-TRINIDAD-TOBAGO-CROSS-GORTT-ICT-PROCUREMENT,Caribbean-CTO-Brief,Issue-08,2025-12-27,NEW,,,Trinidad & Tobago,Cloud|Cyber|Events,Cyber|TrustLayer,PROCUREMENT_RFP,2025-12-27,Cross-GoRTT ICT procurement - from scattered,APPs to shared services GoRTT's 2025/26 procurement schedules reveal a fragmented but sizeable ICT/OT pipeline Across the Annual Schedules of Planned Procurement Activities (ASPPAs) now published on ProcureTT and public-,CTU|DR|ERP|ICT|IT|MOWT|OT|SCADA|TEC|UNSPSC,,(link not provided),(date not provided),MEDIUM,MEDIUM,YES,NO,,
SIG-20251227-005,INIT-TRINIDAD-TOBAGO-DIGITAL-READINESS-ASSESSMENT-ROADMAP,Caribbean-CTO-Brief,Issue-08,2025-12-27,NEW,,,Trinidad & Tobago,AI|Events,,PROCUREMENT_RFP,2026-01-08,Digital Readiness Assessment & Roadmap - from,concept to competitive tender MPAAI launches National Digital Readiness Assessment & Roadmap RFP and pre-qualification The Ministry of Public Administration and Artificial Intelligence has issued both an Invitation to Re,MPAAI|RFP,,(link not provided),2026-01-08,MEDIUM,MEDIUM,NO,NO,,
SIG-20251227-006,INIT-CARIBBEAN-RUTE-ALC-TELEMEDICINE-NETWORK,Caribbean-CTO-Brief,Issue-08,2025-12-27,NEW,,,Caribbean,AI|DPI|Events|Interoperability,ServiceFrontDoor,PARTNERSHIP,2025-12-27,RUTE-ALC - telemedicine network with real,constraints for Caribbean health RUTE-ALC formalises LAC telemedicine network; Caribbean entrants must solve NREN and staffing gaps RedCLARA's RUTE-ALC has been formalised as the University Telemedicine Network of Latin ,ICU|LAC|NREN|RUTE-ALC,,(link not provided),(date not provided),MEDIUM,MEDIUM,YES,NO,,
SIG-20251227-007,INIT-CARIBBEAN-TIER-IV-DATA-CENTRE,Caribbean-CTO-Brief,Issue-08,2025-12-27,NEW,,,Caribbean,AI|Cloud,,INCIDENT,2025-12-03,Tier IV Data Centre - consultancy EOI opens design,"lane, not yet delivery Consultant EOI issued to “strengthen digital infrastructure via a Tier 4 Data Centre” MPAAI has published an Expression of Interest for individual consultants to support “strengthening digital infr",CTU|DC|EOI|IV|MPAAI,,(link not provided),2025-12-03,MEDIUM,MEDIUM,YES,YES,,
